effect_text,norm_key,kind,tier,tags
"""Морская"" болезнь, тошнота","""морская"" болезнь, тошнота",raw,,
"Абсолютная любовь к окружающим без исключения (если добавлена чья то кровь в эликсир, то любовь к тому чья кровь была добавлена)","абсолютная любовь к окружающим без исключения (если добавлена чья то кровь в эликсир, то любовь к тому чья кровь была добавлена)",raw,,
Барьер Души снижается до 1 единицы,барьер души снижается до 1 единицы,raw,,
Бесстрашие и безрассудство,бесстрашие и безрассудство,raw,,
Блокирует Таланты на время работы эликсира,блокирует таланты на время работы эликсира,raw,,
Блокирует магическую силу (сила эликсира = время в минутах),блокирует магическую силу (сила эликсира = время в минутах),raw,,
"Бодрость (способность находиться в состоянии высокого жизненного тонуса, избытка сил и желания что-либо делать)","бодрость (способность находиться в состоянии высокого жизненного тонуса, избытка сил и желания что-либо делать)",wake,,
"В составе эликсира дает магу защиту от различных духов и призраков, защищая от проникновения их в тело.","в составе эликсира дает магу защиту от различных духов и призраков, защищая от проникновения их в тело.",raw,,
"В составе эликсиров является смертельным ядом, для обладателя плюса ""Ахилесова Пята"".","в составе эликсиров является смертельным ядом, для обладателя плюса ""ахилесова пята"".",poison,deadly,achilles
Вводит в летаргический сон,вводит в летаргический сон,sleep,,coma
Вводит в состояние депрессии,вводит в состояние депрессии,raw,,
Вегаторианство (позволяет заглушить голод персонажа фруктами или овощами),вегаторианство (позволяет заглушить голод персонажа фруктами или овощами),raw,,
"Влияет на детей в утробе, увеличивает потенциал силы крови","влияет на детей в утробе, увеличивает потенциал силы крови",raw,,
Возврат в нормальное состояние тела и разума для типа существа и чистоты крови,возврат в нормальное состояние тела и разума для типа существа и чистоты крови,raw,,
Возвращает телу чувствительность,возвращает телу чувствительность,raw,,
Возвращает утерянное зрение,возвращает утерянное зрение,raw,,
Возвращает утерянный голос,возвращает утерянный голос,raw,,
Возвращает утерянный слух,возвращает утерянный слух,raw,,
Восстанавливает память,восстанавливает память,raw,,
"Восстанавливает функционирование составляющей части личности ""Воля""","восстанавливает функционирование составляющей части личности ""воля""",raw,,
Восстанавливает энергетические потоки в организме при их разрыве (каждый разрыв востанавливается при силе готового зелья/эликсира не менее 20 единиц),восстанавливает энергетические потоки в организме при их разрыве (каждый разрыв востанавливается при силе готового зелья/эликсира не менее 20 единиц),raw,,
Восстанавливает энергию,восстанавливает энергию,restore_energy,,
"Восстановление функционирования составляющей части личности ""Разум""","восстановление функционирования составляющей части личности ""разум""",raw,,
"Восстановливает функционирование составляющей части личности ""Душа""","восстановливает функционирование составляющей части личности ""душа""",raw,,
Востанавливает квинтэссенцию (по силе вашего эликсира/зелья),востанавливает квинтэссенцию (по силе вашего эликсира/зелья),raw,,
"Востанавливает от ран Души (не психологические, а магического составляющего любого живого существа)","востанавливает от ран души (не психологические, а магического составляющего любого живого существа)",raw,,
Временно снимает эффекты проклятий,временно снимает эффекты проклятий,raw,,
Вспыльчивость,вспыльчивость,raw,,
"Выводит из депрессии, повышает общий тонус организма, бодрит","выводит из депрессии, повышает общий тонус организма, бодрит",raw,,
Выводит из состояния опьянения,выводит из состояния опьянения,sobriety,,
Выводит смертельные вирусы из организма (сила вашего эликсира/зелья должна быть минимум половины силы вируса),выводит смертельные вирусы из организма (сила вашего эликсира/зелья должна быть минимум половины силы вируса),raw,,
Выводит смертельные яды из организма (сила вашего эликсира/зелья должна быть минимум половины силы яда),выводит смертельные яды из организма (сила вашего эликсира/зелья должна быть минимум половины силы яда),detox_poison,deadly,
"Вызывает ""Рыжиковое Заболевание"" (после приема зелья/эликсира с данным свойством получить аскольд-карту заболевания у МГ)","вызывает ""рыжиковое заболевание"" (после приема зелья/эликсира с данным свойством получить аскольд-карту заболевания у мг)",raw,,
Вызывает Галлюцинации (образы исполненой мечты/грезы),вызывает галлюцинации (образы исполненой мечты/грезы),hallucinations,,
Вызывает Магическую Лихорадку (получи карту вируса у МГ),вызывает магическую лихорадку (получи карту вируса у мг),raw,,
Вызывает галюцинации,вызывает галлюцинации,hallucinations,,
"Вызывает галюцинации, может использоваться для выхода в транс для Шаманов или для глубокого погружения в медитацию.","вызывает галлюцинации, может использоваться для выхода в транс для шаманов или для глубокого погружения в медитацию.",hallucinations,,
Вызывает головную боль в затылочной части,вызывает головную боль в затылочной части,raw,,
"Вызывает заболевание ""Дырявая Душа"" (получить аскольд карту у МГ)","вызывает заболевание ""дырявая душа"" (получить аскольд карту у мг)",raw,,
"Вызывает зависимость 1 уровня, см. правила ""Голод"". При наличии зависимости, увеличивает ее уровень на +1","вызывает зависимость 1 уровня, см. правила ""голод"". при наличии зависимости, увеличивает ее уровень на +1",raw,,
Вызывает кошмары на яву (галюцинации с кошмарами),вызывает кошмары на яву (галлюцинации с кошмарами),hallucinations,,
Вызывает немоту,вызывает немоту,raw,,
Вызывает непереносимость солнечного света,вызывает непереносимость солнечного света,raw,,
"Вызывает общее насыщение организма, используется в мутациях для получения плюса ""Сытый""","вызывает общее насыщение организма, используется в мутациях для получения плюса ""сытый""",raw,,
"Вызывает окаменение (тело полностью покрывается камнем, личность же мага действует по правилам магической комы)","вызывает окаменение (тело полностью покрывается камнем, личность же мага действует по правилам магической комы)",raw,,
Вызывает опьянение,вызывает опьянение,intoxication,,
Вызывает панику,вызывает панику,raw,,
Вызывает полную потерю памяти (временно пока работает эликсир/зелье),вызывает полную потерю памяти (временно пока работает эликсир/зелье),raw,,
Вызывает привыкание при приеме 2 доз в течении суток,вызывает привыкание при приеме 2 доз в течении суток,raw,,
Вызывает сексуальную дисфункцию (спосает от любых приворотов),вызывает сексуальную дисфункцию (спосает от любых приворотов),raw,,
"Вызывает сексуальный подьем (работает как сильный стимулятор, раскрывает сексуальное влечение и выпускает на ружу)","вызывает сексуальный подьем (работает как сильный стимулятор, раскрывает сексуальное влечение и выпускает на ружу)",raw,,
Вызывает сильное желание оберегать и заботиться о слабых,вызывает сильное желание оберегать и заботиться о слабых,raw,,
Галлюцинации,галлюцинации,hallucinations,,
"Галлюцинации, вызывающие злобу, агрессивность, манию пресследования","галлюцинации, вызывающие злобу, агрессивность, манию пресследования",hallucinations,,
Головная боль в височной части,головная боль в височной части,raw,,
"Головокружение, проблемы с вестибулярным аппаратом","головокружение, проблемы с вестибулярным аппаратом",raw,,
Дает возможность на 3 часа быть неотразимым кому угодно (ношение красной розы),дает возможность на 3 часа быть неотразимым кому угодно (ношение красной розы),raw,,
"Дает долголетие (пара луна и луч закрашиваются раз в 20 лет), работает только в мутациях.","дает долголетие (пара луна и луч закрашиваются раз в 20 лет), работает только в мутациях.",raw,,
Дает иммунитет к зельям правды и другим техникам допросов,дает иммунитет к зельям правды и другим техникам допросов,raw,,
"Дает магический счит от магии энергии Тени, может использоваться как противовес данной энергии в составе эликсира.","дает магический счит от магии энергии тени, может использоваться как противовес данной энергии в составе эликсира.",raw,,
Дает неуязвимость к стихийной магии и энергии Души,дает неуязвимость к стихийной магии и энергии души,raw,,
"Дает плюс ""Великий Лидер"" на 30 минут, над существами вашего вида","дает плюс ""великий лидер"" на 30 минут, над существами вашего вида",raw,,
"Дает плюс ""Фартовый"" при использовании свойства в эликсире Мутации. В зельях при использовании плюс дается временно.","дает плюс ""фартовый"" при использовании свойства в эликсире мутации. в зельях при использовании плюс дается временно.",raw,,
"Дает прозрение (одноразовая сработка таланта ""Третий Глаз"" на 1 ступени)","дает прозрение (одноразовая сработка таланта ""третий глаз"" на 1 ступени)",raw,,
Дает рандомно (на выбор куба Д10) 1 стихийный талант на 1 ступени,дает рандомно (на выбор куба д10) 1 стихийный талант на 1 ступени,raw,,
"Дарует Талант ""Переносчик Чумы"" на 2 ступени реализации","дарует талант ""переносчик чумы"" на 2 ступени реализации",raw,,
"Дарует в следствии мутации талант ""Прекрасный Незнакомец"" 3 ступени, при использовании вне мутации дает на время красоту (Маркер красной розы)","дарует в следствии мутации талант ""прекрасный незнакомец"" 3 ступени, при использовании вне мутации дает на время красоту (маркер красной розы)",raw,,
Дарует магические силы (талант или магический плюс рандомно от МГ),дарует магические силы (талант или магический плюс рандомно от мг),raw,,
"Дарует магический щит, работающий только против магии энергии души (стихийная магия, стихийные таланты)","дарует магический щит, работающий только против магии энергии души (стихийная магия, стихийные таланты)",raw,,
"Дарует плюс ""Глаза существа"" - Хэйри (при обратной формуле) /Дэймон (при прямой формуле). Может использоваться в зельях, для врменного эффекта.","дарует плюс ""глаза существа"" - хэйри (при обратной формуле) /дэймон (при прямой формуле). может использоваться в зельях, для врменного эффекта.",raw,,
"Дарует талант ""Каменная Стойкость"" на 2 ступени реализации","дарует талант ""каменная стойкость"" на 2 ступени реализации",raw,,
"Дарует талант ""Манипулятор"" на 1 ступени реализации","дарует талант ""манипулятор"" на 1 ступени реализации",raw,,
Дарует физическое здоровье (используется в зельях/эликсирах лечения физ ран),дарует физическое здоровье (используется в зельях/эликсирах лечения физ ран),raw,,
Дают возможность разговаривать с растениями,дают возможность разговаривать с растениями,raw,,
Делает Нематериальным (зеленая вуаль),делает нематериальным (зеленая вуаль),raw,,
Делает максимально уязвимым для всех магических болезней (получить карту вирусного заболевания у МГ),делает максимально уязвимым для всех магических болезней (получить карту вирусного заболевания у мг),raw,,
Делает не видимым (по правилам красной вуали),делает не видимым (по правилам красной вуали),raw,,
Делает нематериальным (зеленая вуаль),делает нематериальным (зеленая вуаль),raw,,
"Делает неуязвимым к воздействиям на память, восстанавливает память. Защита ментальной составляющей Разум.","делает неуязвимым к воздействиям на память, восстанавливает память. защита ментальной составляющей разум.",mental_protection,,
Для эликсиров/зелий проникновения в чужой сон,для эликсиров/зелий проникновения в чужой сон,raw,,
Единоразовая сработка таланта Третий Глаз на 3 ступени,единоразовая сработка таланта третий глаз на 3 ступени,raw,,
Жаропонижающаее средство,жаропонижающаее средство,raw,,
Заживляет раны,заживляет раны,healing,,
"Заживляет раны и останавливает кровотечение (восстанавливает потерянные хиты, по силе зелья/эликсира). Если рана не затянулася полностью, она не переходит на следующую ступень пока действует эликсир/зелье.","заживляет раны и останавливает кровотечение (восстанавливает потерянные хиты, по силе зелья/эликсира). если рана не затянулася полностью, она не переходит на следующую ступень пока действует эликсир/зелье.",stop_bleeding,,
Замедляет процессы в организме любые,замедляет процессы в организме любые,raw,,
Запирает в мире снов,запирает в мире снов,raw,,
"Запускает неуправляемый процесс превращений (1 превращение в час в рандомного животного или лилиута, за каждое превращение закрашивается одна пара луна-луч в печати души)","запускает неуправляемый процесс превращений (1 превращение в час в рандомного животного или лилиута, за каждое превращение закрашивается одна пара луна-луч в печати души)",raw,,
Заставляет говорить только правду,заставляет говорить только правду,truth,,
Заставляет непрерывно врать,заставляет непрерывно врать,lie,,
Заставляет фиксироваться на одной цели,заставляет фиксироваться на одной цели,raw,,
"Затмевает ""разум"", хочется прыгать скакать громко кричать И-Го-Го, бить копытом и т.д.","затмевает ""разум"", хочется прыгать скакать громко кричать и-го-го, бить копытом и т.д.",reason_clouding,,
"Затягивает легкие раны, кол-во которых напрямую зависит от силы зелья/эликсира (работает, как плюс ""Регенерация"")","затягивает легкие раны, кол-во которых напрямую зависит от силы зелья/эликсира (работает, как плюс ""регенерация"")",raw,,
Защита от любых магических воздействий,защита от любых магических воздействий,raw,,
Защищает от кошмаров,защищает от кошмаров,hallucinations,,
Защищает от ментального воздействия,защищает от ментального воздействия,mental_protection,,
Защищает от нематериальных существ,защищает от нематериальных существ,raw,,
"Защищает от суккубов и инкубов (любых видов соблазнения, убирает воздействия афродизиаков и приворотов)","защищает от суккубов и инкубов (любых видов соблазнения, убирает воздействия афродизиаков и приворотов)",raw,,
