Наименование,Мат. эквивалент,Основной эффект ,Дополнительные эффекты,Обзначение
,Магические Металлы,,,
Философская Сера (Разум/Зелёный),Мускатный орех молотый,"Совершение плохого поступка (одно действие, которое по моральному кодексу персонажа никогда бы не было бы совершено)","Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",FS
,,,Вызывает немоту,
,,,Средний яд,
Философская Ртуть (Время/Оранжевый),Корень солодки (раствор),"Головокружение, проблемы с вестибулярным аппаратом",Смертельный яд,FR
,,,Используется для смены внешности ,
,,,Блокирует магическую силу (сила эликсира = время в минутах),
Квинтэсэнция (Душа/Красный),Соляной раствор (концентрат),"Дает прозрение (одноразовая сработка таланта ""Третий Глаз"" на 1 ступени)",Уравновешенность,KQ
,,,Лечение магических болезней (ментальных),
,,,Способно лечить физические раны (восстанавливает хиты),
Песок черной пустыни/Хром (Тень/Фиолетовый),Чёрный крупнолистовой чай,Усиление способности впитывать энергию,Способность генерировать все типы энергий из энергии Души,CHA
,,,"Устойчивость к реализации любых энергий, кроме Тела и Света",
,,,Восстанавливает энергетические потоки в организме при их разрыве (каждый разрыв востанавливается при силе готового зелья/эликсира не менее 20 единиц) ,
Платиум (Свет/Желтый),Белый сахар кубиком,"Обращает вспять превращения любого рода (отменяет последнюю мутацию организма, останавливает превращение через блокировку таланта ""Превращение"" и блокировку плюса ""Второй Облик"")",Возвращает утерянный слух,PL
,,,Возвращает утерянное зрение,
,,,"Приводит настроение в состояние равновесия, убирает негативные чувтсва",
Медный Реликт (Мир/Голубой),Тростниковый сахар кубиком,Помогает при разного рода омоложении сознания ,Помогает при дезориентации в пространстве,MER
,,,Головная боль в височной части,
,,,Снимает дрожжь в конечностях,
Калёное Железо (Тело/Синий),Паприка молотая,Приводит в баланс энергии Жизни и Смерти в теле  (выравнивает кол-во карт Жизни и Смерти в теле Лекаря в меньшую сторону),Нормализует энергообмен в теле,QCH
,,,Возвращает телу чувствительность,
,,,Наносит повреждения магическим созданиям (работает как слабый яд для существ),
,Магические Компоненты,,,
Эссенция призрака,Зелённый пищевой краситель,"Открывает способности к переходу за грань (одноразовая сработка таланта ""Обманщик Ограничений на 1 ступени)","Усиливает техники энергии ""Разума"" (сила эликсира/2 = + к техникам)",EO
,,,"Увеличивает магический потенциал (сила крови *2, но не более 50ти единиц. При этом не увеличивает показатель хитов)",
,,,"Позволяет видеть невидимое и скрытое (работает как плюс ""Глаза Существа - Элементаль"")",
Концентрат Эктоплазмы призрака,Кунжут,Делает нематериальным (зелёная вуаль),Вызывает панику,EP
,,,"Вызывает непереносимость солнечного света
",
,,,Сильный яд,
Яд Арахны/Яд Нёкки/Кровь Ундины,Оранжевый пищевой краситель,Смертельный яд ,"Ослабляет естественные барьеры (снижает по ступени эликсира показатель барьеров воли, разума и души в равном кол-ве)",YN
,,,Разрушает энергетические потоки (при силе 20 разрушается 1 поток),
,,,Усиливает восприимчивость к энергии Тени (урон от Тени *2),
Сушеные Пауки/Сушеная Чешуя Нёкки/Сушеная Чешуя Ундины,Корица,Усиливает готовый эликсир (сила на выходе *2) и даёт иммунитет к магии (пока работает этот эликсир полный иммунитет к любым магическим воздествиям),Делает не видимым (по правилам красной вуали),SP
,,,Средний Яд,
,,,Востанавливает квинтэссенцию (по силе вашего эликсира/зелья),
Слёзы Ундины/Слезы Нёкки/Слезы Арахны,Лимонная кислота,"Разжигает любовь (заставляет признаться в своих чувствах, тому кто действительно нравится и в кого влюблен)",Вызывает Галлюцинации (образы исполненой мечты/грёзы),SY
,,,Снотворное средство,
,,,Увеличивает привлекательность (пока эликсир/зелье активен маркер красной розы),
Эссенция Подвея,Мармелад,Разжигает чувство вины,Открывает тягу к природе (обнимать березу и т.д.),IAP
,,,"Усиливает готовый эликсир. Сила усиления равна ступени вашего эликсира/зелья (была ступень суперио, усиление идет на +3 единицы и т.д.)",
,,,"Позволяет видеть сквозь красную вуаль (работает как плюс ""Глаза Существа - Элементаль"")",
Измельченная Борода Подвея,Мука Пшеничная,Вызывает немоту,Блокирует Таланты на время работы эликсира,IBP
,,,Делает Нематериальным (зелёная вуаль),
,,,Ненависть к кровным узам (к близким родственикам),
Волосы Зелигены/Дриады/Дэндроида,Зелённый крупнолистовой чай,Сильное успокоительное,Исцеляет при ментальных болезнях с 50% вероятностью (бросается кубик д6 на чет или нечет). Важно что бы сила зелья/эликсира была выше минимум на 1 единицу болезни.,VZ
,,,"Ослабляют проклятия, на силу зелья/эликсира",
,,,Сильное противоядие,
Сушеные пальцы Скоге/Ауки ,Укроп,"Мстительность, агрессия",Дают возможность разговаривать с растениями ,PS
,,,Защищают от воздействий на разум,
,,,Сводят с ума,
Кровь Нулла,Красный пищевой краситель,Средний Яд,Увеличивает Физическое здоровье до показателя силы крови (хиты=сила крови),CN
,,,"Увеличивает рандомно знание магии на 1 единицу. При временном эффекте зелье/эликсир/настойки написать в бот мг для получения рандомной точки усиления, действовать усиление будет в течение действия зелья/эликсира/настойки. При неснимаемом/нерушимом продукте магии получить рандомную карту ОП у мг. ",
,,,Слабый яд,
Молоко Вилтака,Кокосовое Молоко,"Затягивает легкие раны, кол-во которых напрямую зависит от силы зелья/эликсира (работает, как плюс ""Регенерация"")",Проявляет невидимое,MIV
,,,Понижает Голод (позволяет заглушить голод персонажа фруктами или овощами),
,,,Снижает агресивность,
Хрящи Саламандры ,Арахис (жареный и чищеный),Стойкость к любого рода соблазнам,Вызывает Магическую Лихорадку (получи карту вируса у МГ),HS
,,,Повышенная холоднокровность в поступках ,
,,,Повышает храбрость и мужество ,
Чешуя Травяного Дракона,Тыквенные Семечки,Клептомания и тяга ко всему блестящему,Разжигает манию величия,TD
,,,Позволяет понимать язык животных,
,,,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",
Кровь Сильфа,Голубой пищевой краситель,Увеличивает Легкомыслие,Обладает свойствами невидимости (красная вуаль),KS
,,,"Отрезвляет, без похмелья",
,,,Используется для зелий Левитации,
Крылья Сильфа,Молочный шоколад,Используется в эликсирах Полета,"Может использоваться в эликсирах смены предрасположености (только по средством мутации). При использовании в зельях предрасположеность меняется временно, пока работает зелье (бросьте куб d10 и через бот сообщите мг значение, для того что бы вам сообщили вашу временную предрасположеность)",KSI
,,,"Получение минуса ""Любопытная Варвара"" (только по средством мутации). При использовании в зельях минус появляется временно, пока работает зелье.",
,,,Для эликсиров/зелий проникновения в чужой сон ,
Глаза Сильфа,Маршмэллоу,"Используется для лишения плюса ""Глаза Существа"" через эликсиры Мутаций. При использовании в зельях лишает плюса на время работы зелья.","Отрезвляет, без похмелья",GSI
,,,Противоядие против средних ядов,
,,,"Согревает изнутри, используется для пробуждающих эликсиров (можно использовать такие для снятия стазиса и других эффектов насильного погружения в сны)",
Толченое перо Алконоста/Симурана,Куркума,"Восстанавливает функционирование составляющей части личности ""Воля""",Убирает головную боль в затылочной части,TPS
,,,"Убирает паралич, в том числе от различных ядов и талантов",
,,,Снимает воспаление и зуд кожных покровов,
Лапа Алконоста/Симурана,Фисташки,Барьер Души снижается до 1 единицы,"Невозможно молчать, нужно всегда что-то говорить или петь",KLA
,,,Дает плюс “Фартовый” при использовании свойства в эликсире Мутации. В зельях при использовании плюс дается временно. ,
,,,Вегаторианство (позволяет заглушить голод персонажа фруктами или овощами),
Мясо Маркополо,Вареная колбаса/сосиски,"Вызывает общее насыщение организма, используется в мутациях для получения плюса ""Сытый""",Дает неуязвимость к стихийной магии и энергии Души,MMM
,,,Может использоваться против плюсов физического или магического типа,
,,,Может использоваться против плюсов психических и существ,
Вареная Грива Ужвениста,Стеклянная лапша (запаренная),"Затмевает ""разум"", хочется прыгать скакать громко кричать И-Го-Го, бить копытом и т.д.",Может использоваться в эликсирах дарующих красоту (красная Роза),VGU
,,,"Убирает до 2 любых плюс из существующих у персонажа, или в составе эликисра",
,,,Может использоваться в зельях/элексирах на плодородие (любое в том числе и для увеличения шансов забеременеть).,
,Травы,,,
Хорхелла ,Гвоздика,Снижает влечение к противоположному полу,Среднее Противоядие,HV
,,,Против ментального воздействия,
,,,Эффект снотворного ,
Фрамбаозза Норвежская,Листья Малины,"Эйфория, схожая с опьянением",Жаропонижающаее средство ,FN
,,,Заживляет раны  ,
,,,Побуждает говорить только правду ,
Солнечный Цвет,Мать и Мачеха,Слабый яд,Ослабляет ментальную защиту ,SC
,,,"Усиливает страхи, описанный кошмар в вашей вводной для вас теперь реален и вы его видите в любой отражающей поверхности",
,,,Заживляет раны ,
Сербский Златолист,Липа,Выводит из состояния опьянения,Повышает ментальную защиту ,SZ
,,,Среднее Противоядие  ,
,,,Восстанавливает энергию ,
Белолистый Жёлтоцвет,Ромашка,"Путанность мыслей, невозможность их сформулировать",Помогает при лихорадке ,BH
,,,Кровоостанавливающее средство ,
,,,Ослабляет ментальную защиту,
Вонь трава,Тимьян,Вводит в состояние депрессии,Временно снимает эффекты проклятий,VT
,,,Защищает от ментального воздействия,
,,,Защищает от нематериальных существ,
Молодильный Семень,Душистый Перец Горошком,"Омолаживает на 10 лет, может применяться 1 раз на 1 персонажа за всю его жизнь",Уменьшает влечение к противоположному полу,MС
