code,name,material,slot,slot_index,effect_text,kind,tier,tags,source
AM,Яд Мантикоры/Яд Бабая,Кока-Кола,main,0,Смертельный Яд,poison,deadly,,Copy of Лаборатория Агнес.xlsx
AM,Яд Мантикоры/Яд Бабая,Кока-Кола,add1,1,Выводит смертельные яды из организма (сила вашего эликсира/зелья должна быть минимум половины силы яда),detox_poison,deadly,,Copy of Лаборатория Агнес.xlsx
AM,Яд Мантикоры/Яд Бабая,Кока-Кола,add2,2,Выводит смертельные вирусы из организма (сила вашего эликсира/зелья должна быть минимум половины силы вируса),raw,,,Copy of Лаборатория Агнес.xlsx
AM,Яд Мантикоры/Яд Бабая,Кока-Кола,add3,3,Парализует погружая в магический стазис,raw,,,Copy of Лаборатория Агнес.xlsx
AMN,Цветки Амаранэ,Амарант,main,0,"Дарует в следствии мутации талант ""Прекрасный Незнакомец"" 3 ступени, при использовании вне мутации дает на время красоту (Маркер красной розы)",raw,,,Copy of Лаборатория Агнес.xlsx
AMN,Цветки Амаранэ,Амарант,add1,1,Повышенная болтливость и честность (может использоваться в зельях/эликсирах правды),raw,,,Copy of Лаборатория Агнес.xlsx
AMN,Цветки Амаранэ,Амарант,add2,2,"Абсолютная любовь к окружающим без исключения (если добавлена чья то кровь в эликсир, то любовь к тому чья кровь была добавлена)",raw,,,Copy of Лаборатория Агнес.xlsx
AMN,Цветки Амаранэ,Амарант,add3,3,"Разжигает страсть к прекрасному (искусство, слова, предметы и т.п.)",raw,,,Copy of Лаборатория Агнес.xlsx
BA,Волчий Аконит,Мелисса,main,0,"Смертельный яд для перевёртышей (обладатели таланта ""Превращение"")",poison,deadly,shapeshifter,Copy of Лаборатория Агнес.xlsx
BA,Волчий Аконит,Мелисса,add1,1,Способно вылечить средний тип болезней,raw,,,Copy of Лаборатория Агнес.xlsx
BA,Волчий Аконит,Мелисса,add2,2,"Лечит сумасшествие, нервные расстройства",raw,,,Copy of Лаборатория Агнес.xlsx
BA,Волчий Аконит,Мелисса,add3,3,Разрушает наложенное ментальное воздействие,mental_cleanse,,,Copy of Лаборатория Агнес.xlsx
BH,Белолистый Жёлтоцвет,Ромашка,main,0,"Путанность мыслей, невозможность их сформулировать",raw,,,Copy of Лаборатория Агнес.xlsx
BH,Белолистый Жёлтоцвет,Ромашка,add1,1,Помогает при лихорадке,raw,,,Copy of Лаборатория Агнес.xlsx
BH,Белолистый Жёлтоцвет,Ромашка,add2,2,Кровоостанавливающее средство,stop_bleeding,,,Copy of Лаборатория Агнес.xlsx
BH,Белолистый Жёлтоцвет,Ромашка,add3,3,Ослабляет ментальную защиту,mental_protection,,,Copy of Лаборатория Агнес.xlsx
BN,Белена,Жасмин,main,0,"Галлюцинации, вызывающие злобу, агрессивность, манию пресследования",hallucinations,,,10.2 Алхимия_ Молодой Аристократ.xlsx
BN,Белена,Жасмин,add1,1,"Сильное болеутоляющее, может использоваться, как анастезия",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
BN,Белена,Жасмин,add2,2,Слабый яд (понижает энергию),poison_energy_down,weak,energy_down,10.2 Алхимия_ Молодой Аристократ.xlsx
BN,Белена,Жасмин,add3,3,Повышает привлекательность для дэймонов,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
