code,ingredient,role,effect_text,kind,tier,notes
FS,Философская Сера (Разум/Зелёный),main,"Совершение плохого поступка (одно действие, которое по моральному кодексу персонажа никогда бы не было бы совершено)",raw,,
FS,Философская Сера (Разум/Зелёный),add1,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",raw,,
FS,Философская Сера (Разум/Зелёный),add2,Вызывает немоту,raw,,
FS,Философская Сера (Разум/Зелёный),add3,Средний яд,poison,medium,
FR,Философская Ртуть (Время/Оранжевый),main,"Головокружение, проблемы с вестибулярным аппаратом",raw,,
FR,Философская Ртуть (Время/Оранжевый),add1,Смертельный яд,poison,deadly,
FR,Философская Ртуть (Время/Оранжевый),add2,Используется для смены внешности,raw,,
FR,Философская Ртуть (Время/Оранжевый),add3,Блокирует магическую силу (сила эликсира = время в минутах),raw,,
KQ,Квинтэсэнция (Душа/Красный),main,"Дает прозрение (одноразовая сработка таланта ""Третий Глаз"" на 1 ступени)",raw,,
KQ,Квинтэсэнция (Душа/Красный),add1,Уравновешенность,balance,,
KQ,Квинтэсэнция (Душа/Красный),add2,Лечение магических болезней (ментальных),raw,,
KQ,Квинтэсэнция (Душа/Красный),add3,Способно лечить физические раны (восстанавливает хиты),healing_phys,,
CHA,Песок черной пустыни/Хром (Тень/Фиолетовый),main,Усиление способности впитывать энергию,raw,,
CHA,Песок черной пустыни/Хром (Тень/Фиолетовый),add1,Способность генерировать все типы энергий из энергии Души,raw,,
CHA,Песок черной пустыни/Хром (Тень/Фиолетовый),add2,"Устойчивость к реализации любых энергий, кроме Тела и Света",raw,,
CHA,Песок черной пустыни/Хром (Тень/Фиолетовый),add3,Восстанавливает энергетические потоки в организме при их разрыве (каждый разрыв востанавливается при силе готового зелья/эликсира не менее 20 единиц),raw,,
PL,Платиум (Свет/Желтый),main,"Обращает вспять превращения любого рода (отменяет последнюю мутацию организма, останавливает превращение через блокировку таланта ""Превращение"" и блокировку плюса ""Второй Облик"")",raw,,
PL,Платиум (Свет/Желтый),add1,Возвращает утерянный слух,raw,,
PL,Платиум (Свет/Желтый),add2,Возвращает утерянное зрение,raw,,
PL,Платиум (Свет/Желтый),add3,"Приводит настроение в состояние равновесия, убирает негативные чувтсва",raw,,
MER,Медный Реликт (Мир/Голубой),main,Помогает при разного рода омоложении сознания,raw,,
